name,state_code,state_name,country,lat,lng,population
Kent,WA,Washington,US,47.38093,-122.23484,126952
Simi Valley,CA,California,US,34.26945,-118.78148,126788
East Los Angeles,CA,California,US,34.0239,-118.17202,126496
Santa Clara,CA,California,US,37.35411,-121.95524,126215
Sunset Park,NY,New York,US,40.64548,-74.01241,126000
Topeka,KS,Kansas,US,39.04833,-95.67804,125963
Orleans,ON,Ontario,CA,45.45732,-75.50433,125937
Abilene,TX,Texas,US,32.44874,-99.73314,125182
Ottawa South,ON,Ontario,CA,45.3921,-75.68725,125090
Koreatown,CA,California,US,34.05779,-118.30091,124281
Sheepshead Bay,NY,New York,US,40.59122,-73.94458,122534
Amherst,NY,New York,US,42.97839,-78.79976,122366
Victorville,CA,California,US,34.53611,-117.29116,122225
Vallejo,CA,California,US,38.10409,-122.25664,121692
Lafayette,LA,Louisiana,US,30.22409,-92.01984,121374
Chico,CA,California,US,39.72849,-121.83748,121345
North Stamford,CT,Connecticut,US,41.13815,-73.54346,121230
Hartford,CT,Connecticut,US,41.76371,-72.68509,121054
Berkeley,CA,California,US,37.87159,-122.27275,120972
West Palm Beach,FL,Florida,US,26.71534,-80.05337,120932
Allentown,PA,Pennsylvania,US,40.60843,-75.49018,120207
Saint-Louis-de-Terrebonne,QC,Quebec,CA,45.70198,-73.78669,119944
Evansville,IN,Indiana,US,37.97476,-87.55585,119943
Palm Bay,FL,Florida,US,28.03446,-80.58866,119760
Ajax,ON,Ontario,CA,43.85012,-79.03288,119677
Fargo,ND,North Dakota,US,46.87719,-96.7898,118523
Saanich,BC,British Columbia,CA,48.54964,-123.36931,117735
Clearwater,FL,Florida,US,27.96585,-82.8001,117292
Independence,MO,Missouri,US,39.09112,-94.41551,117255
Billings,MT,Montana,US,45.78329,-108.50069,117116
Ann Arbor,MI,Michigan,US,42.27756,-83.74088,117070
El Monte,CA,California,US,34.06862,-118.02757,116732
Harlem,NY,New York,US,40.80788,-73.94542,116345
Westminster,CO,Colorado,US,39.83665,-105.0372,116317
Round Rock,TX,Texas,US,30.50826,-97.6789,115997
Wilmington,NC,North Carolina,US,34.23556,-77.94604,115933
East Harlem,NY,New York,US,40.79472,-73.9425,115921
Arvada,CO,Colorado,US,39.80276,-105.08748,115368
Beaumont,TX,Texas,US,30.08605,-94.10185,115282
Provo,UT,Utah,US,40.23384,-111.65853,115162
Peoria,IL,Illinois,US,40.69365,-89.58899,115070
Carlsbad,CA,California,US,33.15809,-117.35059,114746
Odessa,TX,Texas,US,31.84568,-102.36764,114428
Springfield,IL,Illinois,US,39.80172,-89.64371,114394
Downey,CA,California,US,33.94001,-118.13257,114219
Riviere-des-Prairies-Pointe-aux-Trembles,QC,Quebec,CA,45.64064,-73.58463,113868
Elmhurst,NY,New York,US,40.73649,-73.87791,113364
Costa Mesa,CA,California,US,33.64113,-117.91867,113204
Miami Gardens,FL,Florida,US,25.94204,-80.2456,113187
North Peoria,IL,Illinois,US,40.71754,-89.58426,113004
Fairfield,CA,California,US,38.24936,-122.03997,112970
Lansing,MI,Michigan,US,42.73253,-84.55553,112644
Bushwick,NY,New York,US,40.69427,-73.91875,112620
Gravesend,NY,New York,US,40.5976,-73.96514,112229
Rochester,MN,Minnesota,US,44.02163,-92.4699,112225
Elgin,IL,Illinois,US,42.03725,-88.28119,112111
West Jordan,UT,Utah,US,40.60967,-111.9391,111946
Inglewood,CA,California,US,33.96168,-118.35313,111666
Terrebonne,QC,Quebec,CA,45.70004,-73.64732,111575
Tuscaloosa,AL,Alabama,US,33.20984,-87.56917,111338
Sainte-Foy,QC,Quebec,CA,46.78139,-71.29217,111300
Richardson,TX,Texas,US,32.94818,-96.72972,110815
Lowell,MA,Massachusetts,US,42.63342,-71.31617,110699
East Independence,MO,Missouri,US,39.09556,-94.35523,110675
Gresham,OR,Oregon,US,45.49818,-122.43148,110553
Antioch,CA,California,US,38.00492,-121.80579,110542
St. John's,NL,Newfoundland and Labrador,CA,47.56494,-52.70931,110525
Cambridge,MA,Massachusetts,US,42.3751,-71.10561,110402
High Point,NC,North Carolina,US,35.95569,-80.00532,110268
Manchester,NH,New Hampshire,US,42.99564,-71.45479,110229
Temecula,CA,California,US,33.49364,-117.14836,110003
